Rank,Name,Strategy Tags,Total Points,Locked Points,Budget,Team Value,Transfers,Final Drivers,Final Constructor,R1 Pts,R2 Pts,R3 Pts,R4 Pts,R5 Pts,R6 Pts,R7 Pts,R8 Pts,R9 Pts,R10 Pts,R11 Pts,R12 Pts,R13 Pts,R14 Pts,R15 Pts,R16 Pts,R17 Pts,R18 Pts,R19 Pts,R20 Pts,R21 Pts,R22 Pts,R23 Pts,R24 Pts
1,DayTrader_Dan,active; aggressive,3668,1731,214,629,23,verstappen; piastri; norris; leclerc; stroll,none,26,65,64,71,76,88,79,79,89,56,81,95,87,87,83,106,100,98,91,96,94,72,90,64
2,HotHand_Hannah,active; hot-hand,2994,1409,426,468,22,verstappen; leclerc; sainz; stroll; gasly,none,22,68,81,89,74,97,68,71,77,56,64,68,82,64,68,78,89,45,55,35,63,68,71,32
3,FormChaser_Fiona,balanced; active,2174,1039,482,375,11,bearman; verstappen; stroll; leclerc; gasly,none,20,52,37,62,31,43,29,68,34,43,38,73,41,92,21,60,49,61,33,46,38,74,44,46
4,MaxPower_Mike,top-heavy; active,1795,831,461,397,8,stroll; verstappen; ocon; norris; gasly,none,63,51,41,54,55,27,50,16,63,22,23,66,44,26,42,37,31,40,33,9,46,50,26,49
5,Constructor_Chris,specialist; constructor-focused,1510,700,321,275,0,ocon; colapinto; lindblad; bottas; perez,mclaren,114,64,51,60,60,33,20,26,28,0,24,18,30,34,15,19,12,30,33,29,38,22,26,24
6,FerrariForever_Franco,stacker; moderate,1495,747,1115,15,4,stroll; gasly; ocon; lindblad; bottas,none,44,52,46,54,82,33,20,26,28,40,20,18,18,26,43,26,31,33,25,12,26,10,19,16
7,RedBull_Ravi,stacker; moderate,1359,679,1035,15,4,stroll; gasly; ocon; lindblad; bottas,none,51,69,36,50,53,6,29,9,14,40,20,18,18,26,43,26,31,33,25,12,26,10,19,16
8,Mercedes_Maya,stacker; moderate,1345,672,970,15,4,stroll; gasly; ocon; lindblad; bottas,none,19,54,50,34,46,33,20,26,28,40,20,18,18,26,43,26,31,33,25,12,26,10,19,16
9,Balanced_Beth,balanced; moderate,1311,635,657,245,5,stroll; bearman; hulkenberg; verstappen; gasly,none,29,62,26,29,38,0,12,40,26,0,18,58,18,22,2,53,31,36,25,38,26,12,20,55
10,ValuePick_Vera,budget; active; value,1260,562,707,245,6,stroll; ocon; bearman; verstappen; hulkenberg,none,12,38,12,8,22,0,12,41,30,40,37,43,18,22,3,41,29,37,33,22,38,64,27,24
11,Adaptive_Morgan,specialist; adaptive,1260,598,521,324,6,stroll; norris; hulkenberg; leclerc; gasly,none,24,52,30,24,37,0,12,0,0,0,0,2,0,48,33,34,39,56,26,59,30,59,45,52
12,Optimizer_Oscar,balanced; value,1245,572,595,245,6,stroll; ocon; bearman; verstappen; hulkenberg,none,9,18,25,14,2,0,6,41,30,40,37,43,18,22,3,41,33,37,43,48,38,64,27,24
13,SetForget_Sean,passive; set-and-forget,944,471,818,16,0,ocon; lindblad; bottas; perez; lawson,none,123,94,81,83,72,0,12,1,2,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0
14,RisingStars_Rita,budget; rookies; moderate,799,399,1046,15,3,stroll; ocon; gasly; bortoleto; colapinto,none,2,1,0,12,5,0,12,1,2,40,20,18,19,26,42,25,31,33,25,13,28,10,19,16
15,McLarenStack_Marco,top-heavy; passive; stacker,714,357,834,15,0,ocon; colapinto; lindblad; bottas; perez,none,112,62,46,58,60,0,12,1,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
16,OnceAYear_Olivia,passive; rare-trader,574,286,886,15,1,stroll; ocon; colapinto; lindblad; bortoleto,none,30,60,25,22,36,0,12,1,2,0,1,33,18,26,0,13,6,0,0,1,0,0,2,0
17,BigBudget_Brenda,top-heavy; passive,512,256,984,15,0,ocon; colapinto; lindblad; bottas; perez,none,59,61,50,41,27,0,6,2,4,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0
18,Wildcard_Wendy,specialist; random,424,196,669,126,10,ocon; bearman; hamilton; stroll; bottas,none,8,39,29,9,1,0,6,0,0,33,0,0,0,0,16,4,2,7,8,9,12,15,5,25
19,Steady_Steve,balanced; passive,374,187,929,15,0,ocon; bearman; lindblad; bottas; perez,none,24,50,28,23,41,0,6,2,4,0,1,0,0,2,0,1,4,0,0,1,0,0,0,0
20,AceExpert_Amy,specialist; ace-focused,308,154,885,15,0,ocon; colapinto; lindblad; bottas; perez,none,19,48,19,17,32,0,12,1,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
21,Lazy_Larry,passive; no-captain,307,153,882,16,0,ocon; bearman; bottas; perez; lawson,none,42,32,21,23,24,0,0,1,2,0,0,1,1,0,4,0,2,0,0,0,1,0,0,0
22,Contrarian_Carl,specialist; contrarian; active,150,72,881,24,0,ocon; bearman; bottas; perez; hulkenberg,none,10,16,9,4,20,0,0,0,0,0,0,1,0,0,9,1,0,0,0,2,0,0,0,6
23,SwingTrader_Sam,active; value,68,31,1002,15,2,stroll; ocon; colapinto; lindblad; gasly,none,0,0,0,0,0,0,6,5,10,0,0,0,0,0,2,1,6,0,0,1,0,0,1,0
24,Bargain_Bob,budget; passive,34,17,911,15,0,ocon; bortoleto; colapinto; lindblad; bottas,none,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0
25,PennyWise_Pat,budget; moderate,34,17,983,15,0,ocon; bortoleto; colapinto; lindblad; bottas,none,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0